time,HEAD_x,HEAD_y,HEAD_z,NECK_x,NECK_y,NECK_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,CHEST_x,CHEST_y,CHEST_z
1627020229.700704148,-1.64397,0.0377876,1.34095,-1.1578,0.048961,1.34362,-1.31501,-0.0550076,1.34002,-1.3404,-0.16721,1.06148,-1.34213,-0.18634,0.879009,-1.28441,0.16788,1.29967,-1.22645,0.202559,1.05828,-1.38775,-0.131055,1.0919,-1.15795,0.000286227,0.840827,-1.29301,-0.0619892,0.472419,-1.19407,0.0118381,0.107909,-1.11928,0.0876111,0.845433,-1.26048,0.00939017,0.465966,-1.14839,0.060907,0.0874717,-1.14416,0.0559067,1.02536
1627020229.723427770,-1.64397,0.0377876,1.34095,-1.16868,0.0336642,1.34761,-1.29445,-0.0719667,1.34609,-1.29603,-0.181258,1.07993,-1.30352,-0.208988,0.915477,-1.28441,0.16788,1.29967,-1.22645,0.202559,1.05828,-1.38775,-0.131055,1.0919,-1.16627,-0.0155595,0.855121,-1.28651,-0.0695146,0.492061,-1.1995,0.000738124,0.130791,-1.14095,0.0735703,0.860903,-1.253,0.0137325,0.48162,-1.15967,0.0575129,0.0998712,-1.15973,0.0384398,1.03965
1627020229.752360920,-1.64397,0.0377876,1.34095,-1.17441,0.0428699,1.35153,-1.28774,-0.0612333,1.34977,-1.29603,-0.181258,1.07993,-1.30352,-0.208988,0.915477,-1.27033,0.169751,1.30532,-1.22645,0.202559,1.05828,-1.38775,-0.131055,1.0919,-1.17899,-0.00457226,0.859998,-1.27966,-0.0552774,0.493126,-1.20361,0.00489176,0.129967,-1.14274,0.081443,0.862194,-1.253,0.0137325,0.48162,-1.15819,0.0574034,0.0940154,-1.17012,0.0486555,1.04303
1627020229.765038826,-1.64397,0.0377876,1.34095,-1.1694,0.0456258,1.34633,-1.45565,-0.0386276,1.30161,-1.29603,-0.181258,1.07993,-1.30352,-0.208988,0.915477,-1.23945,0.17487,1.30869,-1.22645,0.202559,1.05828,-1.38775,-0.131055,1.0919,-1.16708,-0.00727214,0.848316,-1.26353,-0.0439774,0.476714,-1.2,0.0105359,0.111475,-1.12299,0.0901665,0.853075,-1.253,0.0137325,0.48162,-1.15819,0.0574034,0.0940154,-1.15247,0.0506813,1.03269
1627020229.782389912,-1.64397,0.0377876,1.34095,-1.16532,0.0495668,1.34846,-1.60049,-0.145222,1.27442,-1.29603,-0.181258,1.07993,-1.47794,-0.340872,0.817146,-1.23945,0.17487,1.30869,-1.20498,0.202261,1.09377,-1.73505,-0.33367,1.14554,-1.15563,-0.00371601,0.841615,-1.34752,-0.0976525,0.43476,-1.19685,0.0087546,0.108937,-1.11393,0.0974825,0.847994,-1.23244,0.0204564,0.476997,-1.15168,0.0586096,0.0938926,-1.13949,0.0592618,1.0278
1627020229.812816904,-1.64397,0.0377876,1.34095,-1.17603,0.033237,1.35111,-1.55375,-0.148189,1.28595,-1.25805,-0.190616,1.09623,-1.41588,-0.326987,0.856719,-1.24298,0.150349,1.31301,-1.20498,0.202261,1.09377,-1.73505,-0.33367,1.14554,-1.16583,-0.0199274,0.854312,-1.33539,-0.100348,0.456107,-1.20161,-0.000933031,0.127127,-1.13572,0.0783306,0.860015,-1.22938,0.024166,0.487182,-1.1626,0.0555181,0.10565,-1.15615,0.0396342,1.03985
1627020229.832271411,-1.64397,0.0377876,1.34095,-1.18097,0.0418285,1.35452,-1.51787,-0.131315,1.29577,-1.25805,-0.190616,1.09623,-1.41588,-0.326987,0.856719,-1.22803,0.154049,1.31842,-1.20498,0.202261,1.09377,-1.73505,-0.33367,1.14554,-1.17895,-0.00911469,0.857956,-1.3231,-0.0829864,0.460408,-1.20476,0.00406891,0.126394,-1.13767,0.085448,0.860004,-1.14961,-0.0402757,0.410826,-1.16081,0.0555242,0.0992419,-1.16691,0.04951,1.04194
1627020229.855825758,-1.64397,0.0377876,1.34095,-1.17935,0.042074,1.34798,-1.63301,-0.103758,1.2615,-1.56507,-0.137639,0.977142,-1.64071,-0.251743,0.756418,-1.2118,0.16206,1.31864,-1.20498,0.202261,1.09377,-1.73505,-0.33367,1.14554,-1.17087,-0.0146731,0.847146,-1.3231,-0.0829864,0.460408,-1.2061,0.0105089,0.108102,-1.11977,0.0920232,0.852443,-1.14961,-0.0402757,0.410826,-1.16081,0.0555242,0.0992419,-1.15431,0.0482858,1.03201
1627020229.869083096,-1.64397,0.0377876,1.34095,-1.17312,0.0471188,1.35001,-1.63301,-0.103758,1.2615,-1.56507,-0.137639,0.977142,-1.64071,-0.251743,0.756418,-1.17231,0.180687,1.32991,-1.17459,0.19467,1.12922,-1.62349,-0.26788,1.2201,-1.15921,-0.0103644,0.840609,-1.3231,-0.0829864,0.460408,-1.20172,0.00688319,0.105886,-1.11142,0.100939,0.847531,-1.14902,-0.0262237,0.414335,-1.1521,0.0581526,0.0972988,-1.14218,0.0572298,1.02701
1627020229.896208110,-1.64397,0.0377876,1.34095,-1.18296,0.0311795,1.35246,-1.58386,-0.109233,1.2739,-1.49059,-0.153202,1.01224,-1.55831,-0.254386,0.8012,-1.17231,0.180687,1.32991,-1.17459,0.19467,1.12922,-1.62349,-0.26788,1.2201,-1.1681,-0.0250984,0.853949,-1.31099,-0.0870091,0.484114,-1.20619,-0.00281535,0.124665,-1.13364,0.0823583,0.859385,-1.15636,-0.0179792,0.430355,-1.16303,0.055301,0.107281,-1.15898,0.037971,1.03905
